单词,美音,definition,简明释义,精选短语
cast,/ kæst /,"to send, throw, or move something or someone in a direction",v. 投射（光，影）；将（视线，目光）投向 n. 演员阵容；铸型，模型 其他 【名】 （Cast）（法）卡斯特（人名）,cast iron: 铸铁，生铁，锻铁 | cast off: 摆脱；抛弃；解开（缆绳等） | cast steel: 铸钢，坩埚钢
notion,/ ˈnoʊʃ(ə)n /,idea or opinion about doing something,n. 概念，想法；缝纫用品,
conservative,/ kənˈsɜːrvətɪv /,preferring traditional styles and values,adj. 保守的；保守派的，保守主义的（认为政府应该实行政治保守主义） n. 保守者，因循守旧者；保守党党员，保守党支持者,conservative party: n. 保守党 | conservative estimate: 审慎估计，保守估计 | conservative government: 保守政权
journey,/ ˈdʒɜːrni /,traveling from one place to another; trip,n. 旅行，旅程；历程，过程 v. 旅行 其他 【名】 （Journey）（英）朱尼，朱妮（人名）,long journey: 长途旅行 | journey to the west: 西游记 | on the journey: 在旅程中
opposition,/ ˌɑːpəˈzɪʃ(ə)n /,act of disagreeing or trying to stop something,n. （强烈的） 反对，反抗；对手，竞争者（the opposition）,in opposition to: 反对；与…相反 | opposition party: 反对党；在野党 | binary opposition: 二元对立；二项对立；相对关系
relief,/ rɪˈliːf /,the pleasant and relaxed feeling when something unpleasant stops or does not happen,n. （因恐惧、忧虑或痛苦的消除而感到的）宽慰，轻松；（疼痛或不快的）减轻，缓解,in relief: 显著地；鲜明地；浮雕一般 | disaster relief: 赈灾；灾难援助 | relief valve: 安全阀；减压阀
debt,/ det /,the sum of money owed to somebody that is not yet paid,n. 欠款，债务；负债情况,in debt: 负债；欠情 | national debt: 国债 | debt financing: [经]债务资金筹措；举债筹资
honor,/ ˈɑːnər /,respect given to someone who is admired,n. 荣誉；信用 vt. 尊敬（等于 honour）；给……以荣誉,great honor: 无上的荣誉，殊荣 | in honor: 为了纪念；向…表示敬意 | in honor of: 向…致敬，向…表示敬意；为庆祝…
outcome,/ ˈaʊtkʌm /,"something that happens as a result, consequence",n. 结果，效果,possible outcome: 可能结果 | therapeutic outcome: 治疗结果 | learning outcome: 学习结果；学习成果
blame,/ bleɪm /,to say someone is responsible for something bad,v. 责怪，归咎于；怨，怪 n. 责备，过错，罪责,blame for: 责备；因……责备 | take the blame: 承担过错 | put the blame on: 归咎于…
explanation,/ ˌekspləˈneɪʃ(ə)n /,details or reasons given to make something clear,n. 解释，说明；解释性说法，说明性文字,in explanation of: 解释 | special explanation: 特别说明
arise,/ əˈraɪz /,"to begin, to start to happen",v. 产生，出现；起源（于），由……引出 其他 【名】 （Arise）（英、美、德、印）阿里塞,arise from: 由…引起，起因于 | arise out of: 起于……
musical,/ ˈmjuːzɪk(ə)l /,play or movie set to music,adj. 音乐的，配乐的；喜爱音乐的，精通音乐的 n. 音乐剧，音乐片,musical instrument: 乐器 | musical composition: 乐曲 | musical performance: n. 演奏（会）；音乐表演
recover,/ rɪˈkʌvər /,to become healthy after an illness or injury; to get better,v. 恢复（健康，精神，体力）；康复，复原（be recovered） n. （军事操练）枪还原，收枪（the recover） 其他 【名】  （Recover）（西）雷科韦尔（人名）,recover from: 恢复；恢复知觉
dad,/ dæd /,father,n. 爸爸；爹爹 n. （Dad）人名；（孟、巴基、阿富）达德,
stretch,/ stretʃ /,to make something bigger or looser by pulling on it,v. （使）变大，拉长；（布料）可伸缩，有弹性 n. （土地或水域的）一片，一段；（时间）连续的一段，持续 adj. （织物）有弹性的，有弹力的 其他 【名】 （Stretch）（美）斯特雷奇（人名）,stretch oneself: 伸懒腰；伸展身体；尽最大的努力 | stretch out: 伸手 | at a stretch: 一口气地，不休息地
declare,/ dɪˈkler /,to say something in an official or sure way,v. 宣布，声明；断言，宣称,declare oneself: 显露身分；发表意见 | declare for: v. 表明赞成（拥护） | nothing to declare: 绿色通道；不需报关
retire,/ rɪˈtaɪər /,to stop working because you have reached a certain age,v. （令）退职，（使）退休；（专业运动员）退役 n. 退休，退隐,retire from: 从……退休 | retire into oneself: 退隐，沉默；(沉湎于自己的思想而)离群索居
tiny,/ ˈtaɪni /,"very, very small",adj. 极小的，微小的 n. <非正式>幼童 其他 【名】 （Tiny）（葡、印）蒂尼（人名）,tiny amount: 微小额 | tiny island: 小岛 | tiny baby: 个儿小的婴儿
careful,/ ˈkerf(ə)l /,thinking about what you are doing in order to avoid a mistake,adj. 仔细的，小心的；谨慎的，周密的,careful in: 在…方面小心 | careful consideration: 深思熟虑；细心考虑 | be careful with: 小心；照顾
suitable,/ ˈsuːtəb(ə)l /,acceptable or right for someone or something,adj. 适宜的，合适的,suitable for: 适合…的，适合于… | suitable temperature: 适用温度；舒适温度 | suitable candidate: 合适人选
native,/ ˈneɪtɪv /,being from or living in the place where you were born,adj. 本地出生的，出生地的；天生的，天赋的 n. 土生土长者，本地人；当地居民,native place: 籍贯 | native american: 印第安人；美洲原住民 | native language: 本国语言；本机语言；机器各单元间编码语言
fruit,/ fruːt /,food that grows on a tree or bush,n. 水果；（植物的）果实 v. （使）结果实 其他 【名】 （Fruit）（英）弗鲁特，（法）弗吕（人名）,fruit juice: 果汁 | bear fruit: 结出果实；奏效 | fresh fruit: 鲜果，水果拼盘
analyze,/ ˈænəlaɪz /,to study carefully to find out the meaning of,vt. 对……进行分析，分解（等于 analyse）,analyze data: 分析数据；分析资料
witness,/ ˈwɪtnəs /,a person who sees something happen,n. （尤指犯罪或事故的）目击者；（法庭等的）证人 v. 目击，目睹；见证，经历（事件、变化等） 其他 【名】 （Witness）（津）威特尼斯（人名）,bear witness: 证明，作证 | as witness: 以…为证明 | in witness whereof: 以资证明；作为其证据
mail,/ meɪl /,"a letter, package, or email",n. 邮政，邮递系统；邮件，信件 v. 邮寄；用电子邮件发送 其他 【名】 （Mail）（法）马伊（人名）,by mail: 邮寄；通过写信，通过邮递；按信件 | daily mail: 每日邮报（英国伦敦的报刊） | voice mail: 语音邮件
terrible,/ ˈterəb(ə)l /,very bad; horrible,adj. 糟糕的，令人极为不快的；极度的，极其严重的,feel terrible: 感觉不舒服
researcher,/ ˈriːsɜːrtʃərˌrɪˈsɜːrtʃər /,a person who studies something carefully to learn new information,n. 研究人员,scientific researcher: 科学研究人员 | market researcher: 市场研究员
ordinary,/ ˈɔːrd(ə)neri /,"not special, different, or unusual",adj. 普通的，平常的；平淡无奇的，平庸的 n. 常见的人（或事物）（the ordinary）；<英>常任法官,in ordinary: （职务等）常任的；（待修的船只等）闲搁着的 | ordinary people: 普通人，一般人 | out of the ordinary: 不平常的
selection,/ sɪˈlekʃ(ə)n /,the act of carefully choosing something or someone from a group,n. 选择，挑选；被挑选的人（或物），精选品,natural selection: 自然选择；[生]物竞天择说 | type selection: 典型选择 | site selection: 厂址选择；基地选择；位置选择
anywhere,/ ˈeniwer /,"in, at, or to any place; used in questions, with 'not'",adv. 在任何地方；无论何处 n. 任何地方,or anywhere: 或是什么别的地方，或其他某地 | get anywhere: 有点成就 | anywhere near: [口]接近于；全然；差不多
mental,/ ˈment(ə)l /,concerning the mind,adj. 存在于大脑中的，思考的；精神的，思想的，智力的,mental health: 心理健康 | mental state: 精神状态 | mental illness: 精神病
participant,/ pɑːrˈtɪsɪpənt /,a person who is actively involved and included in something,n. 参加者，参与者 adj. 参与的,participant observation: 参与观察
vision,/ ˈvɪʒ(ə)n /,ability to see things with your eyes,n. 幻想，想象；幻觉，幻象 v. <罕>想像,computer vision: 计算机视觉；机械视觉 | machine vision: 机器视觉；计算机视觉 | field of vision: 视野；[光]视场
personality,/ ˌpɜːrsəˈnæləti /,person's character; the way that a person usually acts,n. 个性，性格；魅力，品格（如活力、友好、幽默等）,healthy personality: 健康人格；健全人格 | personality development: 人格发展，个性发展 | independent personality: 独立人格
specifically,/ spəˈsɪfɪkli /,in a well-defined or clear manner; in particular,adv. 特意，专门地；明确地，具体地,more specifically: 更具体地说
fat,/ fæt /,oily part of meat,adj. 肥的，肥胖的；厚的，宽的 n. 脂肪，肥肉；食用油，烹调用油 v. <旧>（使）长肥 其他 【名】 （Fat）（法、西、塞）法特，（东南亚国家华语）发（人名）,fat chance: [美口]希望渺茫；很少可能（作反语） | body fat: 体脂肪；体脂重 | blood fat: 血脂
entry,/ ˈentri /,the act of going into some place,n. 进入，加入；出场，莅临,entry into: 进入，加入 | data entry: [计]数据输入；资料登录 | entry point: [计]入口点；入职薪点；入水点
fellow,/ ˈfeloʊ /,someone in the same group or situation; a boy or man,n. 小伙子，家伙；同伴，同事，同学 adj. 同类的，同伴的 其他 【名】 （Fellow）（美、英、印）费洛（人名）,research fellow: 研究员，研究人员 | young fellow: 小伙子 | little fellow: 小家伙，小鬼
chemical,/ ˈkemɪk(ə)l /,a basic substance produced by mixing elements,adj. 化学的，与化学有关的 n. 化学品，化学制品；成瘾的药物,chemical industry: 化学工业 | chemical composition: 化学成分；化学组成 | chemical engineering: 化学工程
capture,/ ˈkæptʃər /,to catch and prevent a person/animal from being free,v. 俘获，捕获；夺取，占领 n. 捕获，被捕获；被捕获的人（或物）,video capture: 视频捕捉 | data capture: 数据捕捉 | motion capture: 动作捕捉
tip,/ tɪp /,a small piece of advice; the end of something,v. （使）倾斜，（使）斜侧；给小费 n. 指点，诀窍，建议；小费 其他 【名】 （Tip）（美、俄）蒂普（人名）,crack tip: 裂纹尖端，裂纹端 | root tip: 根尖 | tip in: 用手指将球送入蓝中；在书页间装订处粘附插面
discount,/ ˈdɪskaʊnt /,an amount of money taken off the usual price of something,n. 减价，折扣；（汇票或期票到期前转手的）贴现率 adj. 打折的，减价出售的 v. 打折，减价；不重视，忽视,at a discount: 打折扣；不受欢迎，没销路 | special discount: 特别折扣 | discount price: 折扣价格
